Accession	Description	CTRL-IFN	CTRL-VIRUS	CTRL-IFN_VIRUS	IFN-VIRUS	IFN-IFN_VIRUS	VIRUS-IFN_VIRUS
Q96ME1	F-box/LRR-repeat protein 18 OS=Homo sapiens OX=9606 GN=FBXL18 PE=1 SV=2	1.525671087	1.050326938	0.267632577	-0.58779372	-1.077768288	-0.541059955
P06702	Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1	-3.168181604	-4.288208889	-4.66000252	-2.855198959	-3.087806145	-0.541059955
P49916	DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2	-0.258417718	-0.536805335	-0.846327485	-0.287695967	-0.788444657	-0.541059955
O75164	Lysine-specific demethylase 4A OS=Homo sapiens OX=9606 GN=KDM4A PE=1 SV=2	-0.364613481	-0.645018899	-0.780800422	-0.27102387	-0.773217098	-0.541059955
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	-0.109743651	-0.103951079	-0.374532635	-0.037614507	-0.392528109	-0.541059955
O15446	DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens OX=9606 GN=CD3EAP PE=1 SV=1	-1.957549914	-2.160008796	-1.02980326	1.562906839	-0.225024955	-0.541059955
O60287	Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4	-0.088504499	0.292831989	-0.269689335	0.379187927	-0.04229424	-0.541059955
Q96QD8	Sodium-coupled neutral amino acid transporter 2 OS=Homo sapiens OX=9606 GN=SLC38A2 PE=1 SV=2	-0.343374328	-0.067879891	-0.309005573	0.195794856	0.064298676	-0.541059955
Q86XL3	Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4	-0.853113987	0.527294711	0.01862974	1.229464892	0.642945938	-0.541059955
Q6PCB8	Embigin OS=Homo sapiens OX=9606 GN=EMB PE=1 SV=1	-0.938070597	1.627465946	0.503530002	2.196446538	1.754557783	-0.541059955
A8MXP9	Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1	-0.046026194	-0.861446027	-1.056014085	-0.904563569	-1.245271443	-0.541059955
Q14966	Zinc finger protein 638 OS=Homo sapiens OX=9606 GN=ZNF638 PE=1 SV=2	-0.407091785	-0.987695185	-1.18706821	-0.804530985	-1.245271443	-0.541059955
Q9NTI5	Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1	0.060169568	-0.608947711	-0.911854547	-0.537777428	-1.123450967	-0.541059955
Q86U28	"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=ISCA2 PE=1 SV=2"	-0.810635682	-0.212164643	0.49042459	0.912695042	0.536353022	-0.541059955
Q6P4F7	Rho GTPase-activating protein 11A OS=Homo sapiens OX=9606 GN=ARHGAP11A PE=1 SV=2	-0.70443992	-1.294300284	-1.331227747	-0.27102387	-1.260499002	-0.541059955
Q96AE4	Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3	-1.129222969	-1.36644266	-1.619546822	-0.387728551	-1.123450967	-0.541059955
Q01081	Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3	-0.5345267	-0.699125681	-0.911854547	-0.187663383	-0.849354895	-0.541059955
C9J384	Protein CMSS1 (Fragment) OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=1	-0.003547889	-0.212164643	-0.55800841	-0.321040162	-0.788444657	-0.541059955
P78345	Ribonuclease P protein subunit p38 OS=Homo sapiens OX=9606 GN=RPP38 PE=1 SV=2	-0.194700261	-0.663054493	-0.649746297	-0.337712259	-0.712306859	-0.541059955
Q14690	Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3	0.208843636	0.148547237	-0.256583923	-0.054286604	-0.514348586	-0.541059955
H0Y5K5	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=ERGIC3 PE=1 SV=1	0.081408721	1.537287976	0.608373302	1.312825378	0.734311295	-0.541059955
Q8NBI5	Solute carrier family 43 member 3 OS=Homo sapiens OX=9606 GN=SLC43A3 PE=1 SV=2	-1.171701274	1.10443372	0.411792115	1.746299909	1.267275879	-0.541059955
Q9NYB0	Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1	1.398236173	-0.915552809	-1.488492697	-1.504759074	-2.174152574	-0.541059955
Q9H617	Transmembrane protein 164 OS=Homo sapiens OX=9606 GN=TMEM164 PE=1 SV=1	0.102647873	-1.222157907	-1.18706821	-0.987924056	-1.047313169	-0.541059955
Q6PIY7	Poly(A) RNA polymerase GLD2 OS=Homo sapiens OX=9606 GN=TENT2 PE=1 SV=1	-1.023027207	-0.879481621	-1.23948986	-0.304368065	-0.742761978	-0.5218159
Q9ULW3	Activator of basal transcription 1 OS=Homo sapiens OX=9606 GN=ABT1 PE=1 SV=1	-1.893832457	-0.374484989	-1.776811772	0.112434369	-0.148887157	-0.541059955
Q02880	DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3	0.378756855	-0.987695185	-1.121541147	-1.221333419	-1.625960431	-0.5218159
Q9UKM9	RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1	0.293800245	-0.645018899	-0.911854547	-0.871219375	-1.260499002	-0.5218159
Q9UFC0	Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2	-0.152221956	-0.753232463	-0.76769501	-0.571121622	-1.032085609	-0.5218159
Q9NY61	Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1	-0.237178566	-0.753232463	-0.951170785	-0.537777428	-0.940720252	-0.5218159
Q6UXN9	WD repeat-containing protein 82 OS=Homo sapiens OX=9606 GN=WDR82 PE=1 SV=1	0.166365331	-0.248235831	-0.544902997	-0.437744844	-0.849354895	-0.5218159
Q13795	ADP-ribosylation factor-related protein 1 OS=Homo sapiens OX=9606 GN=ARFRP1 PE=1 SV=1	-0.70443992	0.040333673	0.346265052	1.029399723	0.764766414	-0.5218159
Q13740	CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2	-0.513287548	0.960148968	0.555951652	1.646267325	1.115000283	-0.5218159
Q9UBW7	Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1	0.782300752	-2.53875627	-2.052025434	-1.388054393	-1.763008467	-0.5218159
Q32MN6	TATA-box-binding protein OS=Homo sapiens OX=9606 GN=TBP PE=1 SV=1	0.612387532	0.130511643	-0.125529798	-0.654482109	-1.153906086	-0.5218159
Q96MG7	Non-structural maintenance of chromosomes element 3 homolog OS=Homo sapiens OX=9606 GN=NSMCE3 PE=1 SV=1	0.59114838	-0.302342613	-0.597324647	-0.871219375	-1.153906086	-0.5218159
Q9HAV0	Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens OX=9606 GN=GNB4 PE=1 SV=3	-0.61948331	0.437116741	0.306948815	0.979383431	0.551580581	-0.5218159
O75367	Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=H2AFY PE=1 SV=4	0.633626685	-1.673047758	-1.606441409	-1.738168437	-1.991421859	-0.5218159
Q5BKZ1	DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2	-0.598244158	-1.889474886	-1.606441409	-1.121300835	-1.458457276	-0.5218159
P43490	Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1	-1.150462121	-1.023766373	-1.23948986	0.062418077	-0.422983228	-0.5218159
Q9H4K7	Mitochondrial ribosome-associated GTPase 2 OS=Homo sapiens OX=9606 GN=MTG2 PE=1 SV=1	-1.107983816	0.491223523	-0.151740623	1.029399723	0.703856176	-0.5218159
O15047	Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens OX=9606 GN=SETD1A PE=1 SV=3	0.633626685	-0.590912117	-1.147751972	-1.321366003	-1.9761943	-0.5218159
Q5VV50	Zinc finger protein 691 OS=Homo sapiens OX=9606 GN=ZNF691 PE=1 SV=1	-0.385852633	-1.618940976	-1.606441409	-1.037940348	-1.64118799	-0.5218159
Q5H8A4	GPI ethanolamine phosphate transferase 2 OS=Homo sapiens OX=9606 GN=PIGG PE=1 SV=1	-0.130982804	0.292831989	-0.151740623	0.162450661	-0.179342276	-0.5218159
Q8N1S5	Zinc transporter ZIP11 OS=Homo sapiens OX=9606 GN=SLC39A11 PE=2 SV=3	0.038930416	0.455152335	0.700111189	0.662613582	0.231801831	-0.5218159
Q9HBU1	Homeobox protein BarH-like 1 OS=Homo sapiens OX=9606 GN=BARX1 PE=1 SV=2	0.803539904	-1.492691818	-1.396754809	-1.871545216	-2.113242336	-0.5218159
Q15542	Transcription initiation factor TFIID subunit 5 OS=Homo sapiens OX=9606 GN=TAF5 PE=1 SV=3	0.654865837	-0.446627365	-0.544902997	-0.754514693	-1.047313169	-0.5218159
F5H0R1	Speckle targeted PIP5K1A-regulated poly(A) polymerase OS=Homo sapiens OX=9606 GN=TUT1 PE=1 SV=1	-2.446050421	-1.90751048	-1.947182134	-0.371056454	-0.818899776	-0.502571845
P42166	"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2"	-0.364613481	-0.626983305	-0.780800422	-0.404400649	-0.666624181	-0.5218159
Q9Y4C1	Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4	-0.683200767	-0.807339245	-0.859432897	-0.304368065	-0.468665907	-0.5218159
Q14156	Protein EFR3 homolog A OS=Homo sapiens OX=9606 GN=EFR3A PE=1 SV=2	-0.046026194	1.537287976	0.726322014	1.346169573	0.795221533	-0.5218159
P23246	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	-0.853113987	-1.240193501	-1.868549659	-0.871219375	-1.549822633	-0.502571845
Q9BZK7	F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1	0.208843636	-0.807339245	-1.108435735	-0.954579861	-1.519367514	-0.502571845
Q4G0J3	La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1	0.208843636	-0.861446027	-1.147751972	-1.071284543	-1.473684836	-0.502571845
O60244	Mediator of RNA polymerase II transcription subunit 14 OS=Homo sapiens OX=9606 GN=MED14 PE=1 SV=2	0.293800245	-0.717161275	-0.92495996	-0.671154206	-1.153906086	-0.502571845
P42167	"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2"	-0.322135176	-0.031808703	-0.387638047	0.29582744	-0.194569836	-0.502571845
Q8WUH2	Transforming growth factor-beta receptor-associated protein 1 OS=Homo sapiens OX=9606 GN=TGFBRAP1 PE=1 SV=1	0.739822447	1.01425575	0.398686702	0.479220511	0.033843557	-0.502571845
Q8N1G0	Zinc finger protein 687 OS=Homo sapiens OX=9606 GN=ZNF687 PE=1 SV=1	0.42123516	-0.771268057	-1.305016922	-1.121300835	-1.519367514	-0.502571845
Q8IZH2	5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1	0.654865837	0.689615058	0.149683865	0.079090174	-0.301162752	-0.502571845
H0YFN7	RAB6A-GEF complex partner protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RIC1 PE=1 SV=1	-0.067265346	0.220689613	-0.230373098	0.212466953	-0.179342276	-0.502571845
H3BVF7	Transmembrane protein 62 (Fragment) OS=Homo sapiens OX=9606 GN=TMEM62 PE=1 SV=1	-2.000028219	-0.717161275	-0.61043006	0.379187927	-0.148887157	-0.502571845
I3L4A1	Charged multivesicular body protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=CHMP6 PE=1 SV=1	-1.086744664	0.346938771	-0.675957122	0.345843732	0.353622307	-0.502571845
P08240	Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2	-0.258417718	0.437116741	0.01862974	0.745974068	0.429760105	-0.502571845
Q9NXW2	DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=5	-1.044266359	0.455152335	-0.03379191	1.346169573	0.779993974	-0.502571845
Q15427	Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1	-0.046026194	-1.041801967	-0.71527336	-0.787858888	-0.910265133	-0.502571845
Q96L50	Leucine-rich repeat protein 1 OS=Homo sapiens OX=9606 GN=LRR1 PE=1 SV=2	0.102647873	-0.374484989	-0.61043006	-0.354384357	-0.910265133	-0.502571845
Q9Y6V7	Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1	-0.300896023	-0.338413801	-0.597324647	-0.437744844	-0.773217098	-0.502571845
Q86UL3	Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens OX=9606 GN=GPAT4 PE=1 SV=1	-0.343374328	0.725686246	0.084156802	0.779318263	0.247029391	-0.502571845
P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	-0.577005005	1.176576096	0.516635415	1.496218449	0.962724688	-0.502571845
A6NNK5	TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2	-0.577005005	-2.160008796	-1.907865897	-1.421398587	-1.747780907	-0.502571845
Q01196	Runt-related transcription factor 1 OS=Homo sapiens OX=9606 GN=RUNX1 PE=1 SV=3	-0.300896023	-1.023766373	-1.23948986	-0.821203083	-1.169133645	-0.502571845
Q14807	Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5	0.548670075	-0.608947711	-0.728378772	-0.821203083	-1.138678526	-0.502571845
O95104	"Splicing factor, arginine/serine-rich 15 OS=Homo sapiens OX=9606 GN=SCAF4 PE=1 SV=3"	-0.598244158	-1.691083352	-1.947182134	-1.037940348	-1.854373824	-0.502571845
Q6P9B9	Integrator complex subunit 5 OS=Homo sapiens OX=9606 GN=INTS5 PE=1 SV=1	0.378756855	-0.608947711	-0.702167947	-0.871219375	-1.092995848	-0.502571845
H7C4T5	Muscleblind-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=1	1.015931429	0.92407778	0.372475877	-0.321040162	-0.499121026	-0.502571845
Q9BUN8	Derlin-1 OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1	-0.70443992	-0.266271425	-0.544902997	0.245811148	-0.103204478	-0.502571845
P36578	60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	-0.152221956	0.166582831	-0.046897323	0.29582744	0.049071117	-0.502571845
Q08722	Leukocyte surface antigen CD47 OS=Homo sapiens OX=9606 GN=CD47 PE=1 SV=1	-1.171701274	0.5633659	0.17589469	1.579578936	1.054090045	-0.502571845
C9JZ87	Transmembrane protein 106B (Fragment) OS=Homo sapiens OX=9606 GN=TMEM106B PE=1 SV=1	-1.256657883	0.112476049	0.215210927	1.863004591	1.099772724	-0.502571845
P49721	Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1	-3.401812281	-3.620891911	-3.192196321	-0.987924056	-1.290954121	-0.502571845
A0A0A0MTB8	WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1	0.123887026	-0.320378207	-0.571113822	-0.371056454	-0.849354895	-0.502571845
Q96SB8	Structural maintenance of chromosomes protein 6 OS=Homo sapiens OX=9606 GN=SMC6 PE=1 SV=2	-0.322135176	-0.645018899	-0.76769501	-0.304368065	-0.803672217	-0.502571845
P55145	Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=3	-1.065505511	-1.438585036	-1.383649397	-0.337712259	-0.438210788	-0.48332779
Q8NFW8	N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2	0.017691264	-0.879481621	-1.08222491	-0.921235667	-1.367091919	-0.48332779
A0A0J9YYL3	Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1	-0.300896023	-1.150015531	-1.173962797	-0.821203083	-1.138678526	-0.48332779
Q14147	Probable ATP-dependent RNA helicase DHX34 OS=Homo sapiens OX=9606 GN=DHX34 PE=1 SV=2	-0.343374328	-0.699125681	-0.885643722	-0.221007578	-0.605713943	-0.48332779
H7C061	Ubiquitin-conjugating enzyme E2 E1 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2E1 PE=1 SV=1	1.100888038	0.491223523	0.110367627	-0.137647091	-0.072749359	-0.48332779
H0YEF3	Ribonuclease H2 subunit C (Fragment) OS=Homo sapiens OX=9606 GN=RNASEH2C PE=1 SV=1	0.166365331	0.65354387	0.241421752	0.312499537	0.414532545	-0.48332779
B4DY09	Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=1	-0.046026194	-0.681090087	-0.807011247	-0.654482109	-0.955947812	-0.48332779
P22087	rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2	0.060169568	0.383009959	-0.08621356	0.279155343	-0.225024955	-0.48332779
P35754	Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2	-2.169941439	-2.214115578	-0.793905835	0.479220511	0.049071117	-0.48332779
O96005	Cleft lip and palate transmembrane protein 1 OS=Homo sapiens OX=9606 GN=CLPTM1 PE=1 SV=1	-0.61948331	0.473187929	-0.073108148	0.996055529	0.536353022	-0.48332779
Q86Y82	Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1	-0.555765853	1.050326938	0.22831634	1.579578936	1.023634926	-0.48332779
O75529	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens OX=9606 GN=TAF5L PE=1 SV=1	3.7982604	0.671579464	0.162789277	-1.638135853	-1.671643109	-0.48332779
Q8N8J7	Uncharacterized protein FAM241A OS=Homo sapiens OX=9606 GN=FAM241A PE=2 SV=2	-0.980548902	-0.248235831	-0.322110985	0.595925192	0.307939629	-0.48332779
Q6UWP7	Lysocardiolipin acyltransferase 1 OS=Homo sapiens OX=9606 GN=LCLAT1 PE=1 SV=1	-0.78939653	0.256760801	-0.19105686	0.829334555	0.429760105	-0.48332779
Q9NW81	Distal membrane-arm assembly complex protein 2 OS=Homo sapiens OX=9606 GN=DMAC2 PE=1 SV=3	-0.577005005	0.978184562	0.22831634	0.929367139	0.825676652	-0.48332779
Q8IU81	Interferon regulatory factor 2-binding protein 1 OS=Homo sapiens OX=9606 GN=IRF2BP1 PE=1 SV=1	-0.067265346	-0.482698553	-0.45316511	-0.554449525	-0.605713943	-0.48332779
Q5VTL8	Pre-mRNA-splicing factor 38B OS=Homo sapiens OX=9606 GN=PRPF38B PE=1 SV=1	0.230082788	0.238725207	-0.204162273	-0.137647091	-0.407755669	-0.48332779
Q92759	General transcription factor IIH subunit 4 OS=Homo sapiens OX=9606 GN=GTF2H4 PE=1 SV=1	0.973453124	0.815864216	0.12347304	0.279155343	-0.270707633	-0.48332779
O75298	Reticulon-2 OS=Homo sapiens OX=9606 GN=RTN2 PE=1 SV=1	-0.577005005	-0.013773109	-0.217267685	0.495892608	0.018615998	-0.48332779
G5E9T8	Golgi SNAP receptor complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=GOSR1 PE=1 SV=2	-0.215939413	0.761757434	0.411792115	0.86267875	0.414532545	-0.48332779
Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2	-0.279656871	-0.771268057	-1.042908672	-0.537777428	-1.047313169	-0.464083736
Q52LR7	Enhancer of polycomb homolog 2 OS=Homo sapiens OX=9606 GN=EPC2 PE=1 SV=2	2.035410746	-0.158057861	-0.76769501	-1.588119561	-1.65641555	-0.464083736
Q6P1M0	Long-chain fatty acid transport protein 4 OS=Homo sapiens OX=9606 GN=SLC27A4 PE=1 SV=1	-0.44957009	0.094440455	0.031735152	0.595925192	0.247029391	-0.464083736
F8W733	BRISC and BRCA1-A complex member 2 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM2 PE=1 SV=1	0.633626685	1.248718472	0.503530002	0.5459089	0.612490819	-0.464083736
Q13151	Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1	-0.173461109	-1.077873155	-1.147751972	-0.904563569	-1.275726562	-0.464083736
P49848	Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1	0.994692276	-0.103951079	-0.40074346	-1.054612445	-1.077768288	-0.464083736
A0A0D9SFM0	E3 ubiquitin-protein ligase SHPRH OS=Homo sapiens OX=9606 GN=SHPRH PE=1 SV=1	0.612387532	-0.031808703	-0.50558676	-0.454416941	-1.032085609	-0.464083736
M0R165	Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1	-0.109743651	0.202654019	-0.649746297	0.79599036	-0.316390312	-0.464083736
Q9H488	GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POFUT1 PE=1 SV=1	0.208843636	0.274796395	-0.03379191	0.04574598	-0.225024955	-0.464083736
Q14687	Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3	0.208843636	-1.889474886	-1.475387284	-1.65480795	-1.747780907	-0.464083736
O00422	Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1	0.081408721	-0.356449395	-0.55800841	-0.421072746	-0.834127336	-0.464083736
Q8NBS9	Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2	-0.343374328	0.473187929	0.005524327	0.29582744	-0.209797395	-0.464083736
O75190	DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6 PE=1 SV=2	-0.831874834	-0.356449395	-0.938065372	0.745974068	0.216574272	-0.464083736
Q9BZE4	Nucleolar GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3	-0.067265346	0.996220156	0.503530002	0.962711334	0.536353022	-0.464083736
E9PRJ8	Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=CD81 PE=1 SV=1	-0.874353139	1.050326938	0.43800294	1.42953006	1.145455402	-0.464083736
Q13263	Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5	0.102647873	-0.915552809	-1.042908672	-0.771186791	-1.260499002	-0.464083736
Q9UNX4	WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1	0.25132194	-0.266271425	-0.571113822	-0.437744844	-0.910265133	-0.464083736
P14678	Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2	-0.407091785	-0.284307019	-0.45316511	0.162450661	-0.36207299	-0.464083736
Q92636	Protein FAN OS=Homo sapiens OX=9606 GN=NSMAF PE=1 SV=2	-2.042506524	-0.771268057	-1.671968472	0.846006652	0.064298676	-0.464083736
Q8IWS0	PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1	0.123887026	-0.735196869	-0.793905835	-0.621137914	-1.275726562	-0.464083736
Q9HCK8	Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=5	-0.173461109	-0.572876523	-0.807011247	-0.237679675	-0.864582455	-0.464083736
Q969H8	Myeloid-derived growth factor OS=Homo sapiens OX=9606 GN=MYDGF PE=1 SV=1	-0.640722462	-1.330371472	-1.226384447	-0.454416941	-0.818899776	-0.464083736
Q7Z3B4	Nucleoporin p54 OS=Homo sapiens OX=9606 GN=NUP54 PE=1 SV=2	-0.215939413	-0.266271425	-0.29590016	-0.037614507	-0.407755669	-0.464083736
Q9NRZ9	Lymphoid-specific helicase OS=Homo sapiens OX=9606 GN=HELLS PE=1 SV=1	-0.938070597	-1.5467986	-1.658863059	-0.687826304	-1.397547038	-0.444839681
Q8N201	Integrator complex subunit 1 OS=Homo sapiens OX=9606 GN=INTS1 PE=1 SV=2	0.378756855	-0.699125681	-0.807011247	-1.004596153	-1.290954121	-0.464083736
F2Z2U4	Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3	0.357517703	-0.753232463	-0.885643722	-0.937907764	-1.290954121	-0.444839681
Q9Y3B4	Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1	-0.046026194	-0.482698553	-0.82011666	-0.437744844	-0.940720252	-0.464083736
Q9NYP7	Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1	-0.492048395	-1.420549442	-1.370543984	-0.854547277	-0.803672217	-0.464083736
Q14344	Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens OX=9606 GN=GNA13 PE=1 SV=2	-0.194700261	1.320860848	0.595267889	1.479546352	0.886586891	-0.444839681
Q7Z7K6	Centromere protein V OS=Homo sapiens OX=9606 GN=CENPV PE=1 SV=1	-0.003547889	-1.45662063	-1.619546822	-1.488086977	-1.488912395	-0.444839681
P42695	Condensin-2 complex subunit D3 OS=Homo sapiens OX=9606 GN=NCAPD3 PE=1 SV=2	0.42123516	-0.843410433	-1.016697847	-1.037940348	-1.290954121	-0.444839681
O15164	Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3	-0.407091785	-1.312335878	-1.488492697	-0.58779372	-1.169133645	-0.444839681
P32780	General transcription factor IIH subunit 1 OS=Homo sapiens OX=9606 GN=GTF2H1 PE=1 SV=1	0.038930416	-0.446627365	-0.793905835	-0.554449525	-0.864582455	-0.444839681
Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2	-0.046026194	-0.103951079	-0.66285171	-0.054286604	-0.636169062	-0.444839681
Q13190	Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2	-0.407091785	-0.446627365	-0.571113822	-0.054286604	-0.316390312	-0.444839681
Q9UKV5	E3 ubiquitin-protein ligase AMFR OS=Homo sapiens OX=9606 GN=AMFR PE=1 SV=2	-0.70443992	0.83389981	0.346265052	1.729627812	0.90181445	-0.444839681
Q969X6	U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens OX=9606 GN=UTP4 PE=1 SV=1	-0.173461109	1.717643916	0.949114027	1.712955715	1.252048319	-0.444839681
A0A3B3IS71	Retinoblastoma-associated protein OS=Homo sapiens OX=9606 GN=RB1 PE=1 SV=1	0.442474313	-0.266271425	-0.61043006	-0.854547277	-1.01685805	-0.444839681
A0A087WWP4	RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=1	-0.067265346	-0.392520583	-0.649746297	-0.321040162	-0.712306859	-0.444839681
