Accession	Description	CTRL1	CTRL2	CTRL3	IFN1	IFN2	IFN3	VIRUS1	VIRUS2	VIRUS3	IFN_VIRUS1	IFN_VIRUS2	IFN_VIRUS3
Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1	18866661.47	17431008.18	19955258.42	18677009.71	20430116.95	19657007.9	17173085.59	18698220.48	25182959.62	22851337.51	26750158.89	24430490.9
Q99942	E3 ubiquitin-protein ligase RNF5 OS=Homo sapiens OX=9606 GN=RNF5 PE=1 SV=1	5062036.197	5761277.06	3497121.692	5205221.961	7663757.128	4028113.941	3530742.52	4893620.866	3537384.598	4237922.179	4089496.915	4595828.631
Q8WUY1	Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2	31281980.24	28399224.15	26605116.98	33383112.7	38499477.38	36929619.19	23900276.37	21689014.83	29742443.12	35387651.86	38173796.43	36803551.55
O94886	CSC1-like protein 1 OS=Homo sapiens OX=9606 GN=TMEM63A PE=1 SV=3	1587532.166	871639.8074	1070503.938	1706226.556	1325937.222	1616185.313	618059.0395	617777.9801	1603894.308	711641.8434	1843555.577	607580.2819
P07333	Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens OX=9606 GN=CSF1R PE=1 SV=2	653695.3859	305157.2903	428445.1746	791182.0833	1063298.261	753639.646	296333.9913	317840.6397	301902.9067	446684.6381	405249.327	160012.4981
Q86XI2	Condensin-2 complex subunit G2 OS=Homo sapiens OX=9606 GN=NCAPG2 PE=1 SV=1	10116553.23	15585136.42	17820869.48	11920284.95	14240111.39	13593016.45	16608609.85	17428001.3	19763560.72	23010243.39	24934709.74	24042499.58
Q8NAV1	Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1	10277279.47	17781725.69	16701622.57	15758935.75	16271042.99	16001267.11	12189375.29	15623785.05	16998340.74	19429596.82	21596391.4	18512921.23
Q9BV23	Monoacylglycerol lipase ABHD6 OS=Homo sapiens OX=9606 GN=ABHD6 PE=1 SV=1	1489054.335	1565861.332	1315200.796	895616.7412	2051404.143	1761137.63	1503836.679	1557365.266	1422093.445	2020275.191	1571496.171	1992247.789
Q92692	Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	3051489.953	4160758.232	2756255.218	3249067.548	3996435.217	5145495.685	2436681.352	2388256.166	2623931.281	3576741.311	3056603.246	3190136.026
Q9Y5M8	Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3	66491569.42	70981310.92	60876422.66	77290984.65	91053686.55	86364472.53	61071769.35	60387969.33	54551877.1	64831005.12	67715116.55	64689321.82
Q53GS7	Nucleoporin GLE1 OS=Homo sapiens OX=9606 GN=GLE1 PE=1 SV=2	13383398.28	15695752.38	12310552.33	16479046.51	15939719.4	16368081.11	10130128.51	8513093.338	8885324.861	11128577.11	10417303.5	12274235.04
Q99640	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase OS=Homo sapiens OX=9606 GN=PKMYT1 PE=1 SV=1	2158511.971	4406456.405	4764762.125	5407445.569	5845257.396	3833463.881	3384597.264	4224718.172	2745093.923	4184661.172	3348557.618	2958807.29
Q92547	DNA topoisomerase 2-binding protein 1 OS=Homo sapiens OX=9606 GN=TOPBP1 PE=1 SV=3	3485119.891	4501854.189	16002254.05	4238009.81	11299687.97	10003741.54	5452131.886	22816439.08	22147363.59	6893293.055	21524573.57	26035734.01
Q9Y4J8	Dystrobrevin alpha OS=Homo sapiens OX=9606 GN=DTNA PE=1 SV=2	121143.4394	94108.17063	174842.7097	190186.4816	76433.33102	113994.0926	73378.26299	353133.3087	671864.0653	162173.8981	204970.5691	192074.1085
Q5SY16	Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens OX=9606 GN=NOL9 PE=1 SV=1	9688774.262	15082130.26	13706296.41	8311223.716	9819252.773	9708485.974	9592124.873	10908754.12	12807861.26	11863668.39	13107783.54	13426521.93
H0YNG3	Signal peptidase complex catalytic subunit SEC11 OS=Homo sapiens OX=9606 GN=SEC11A PE=1 SV=1	58305825.85	51250525.45	61267973.38	64527259.56	61309027.66	53739215.69	52961971.59	31755360.92	49306627.66	57372665.37	54457188.2	54634394.68
E9PLL6	60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1	108041026.6	100442450.1	95775790.56	119255509.2	118320703.3	107954424.2	97871661.18	90338852.68	97622598.55	117560114.3	108793747.1	110252563.2
P43007	Neutral amino acid transporter A OS=Homo sapiens OX=9606 GN=SLC1A4 PE=1 SV=1	5301700.432	4713104.354	5788984.742	5745877.578	5150039.141	5449197.295	4095342.054	3166697.678	2617434.345	4003866.031	3295622.936	4363374.74
Q8IX18	Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens OX=9606 GN=DHX40 PE=1 SV=2	1316048.853	1164012.648	1110324.875	851468.8602	1017988.667	1154822.573	1194477.443	999997.4331	1435898.313	1396118.321	1505941.789	1371530.408
P51610	Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2	7474731.626	6992077.928	6436499.455	26516513.94	20837262.25	7772411.599	13633902.13	9782940.678	10011674.54	10577455.3	11615129.62	9272649.996
Q8N1G2	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=CMTR1 PE=1 SV=1	2194826.297	2008427.46	2071508.266	2486720.763	3403253.26	3523855.716	1956152.403	3471337.204	1845622.885	2100218.923	2924691.167	2413450.309
O00461	Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1	23805178.53	17414979.86	16512576.08	31368168.37	23498451.52	17046445.6	16411632.1	16198801.94	12416956.55	17347152.09	15964129.23	15993030.38
O75718	Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1	26330728.94	22157310.26	23014430.26	79939090.1	83957614.08	66341348.19	24388361.78	20707495.71	17256796.15	25637437.73	26488004.82	20735723.74
P00167	Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2	6819746.055	8696617.045	5143925.282	16098895.65	14642878.35	14968278.07	12330690.64	8184335.923	11417689.11	13628368.67	10160785.54	7475094.844
Q9Y5J1	U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3	14780862.32	16462214.42	17073205.04	13699285.9	16765619.44	15646339.16	12189742.81	14744820.1	19585227.47	14853493.97	15798329	18228459.66
Q9Y6D9	Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens OX=9606 GN=MAD1L1 PE=1 SV=2	2500179.207	2259876.701	2284396.161	2457611.728	3286702.242	2296710.315	2435007.888	3605766.451	2714907.393	3259556.527	4212206.525	2884424.581
Q86VR2	Reticulophagy regulator 3 OS=Homo sapiens OX=9606 GN=RETREG3 PE=1 SV=1	1444791.622	1666931.105	1860901.775	1725196.088	1964445.159	1484009.135	1528619.336	1385858.881	1507939.5	1772945.93	3574117.799	1686591.468
Q14764	Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4	38671599.94	10362556.11	9238582.744	13774879.39	14140639.1	15965688.08	9043153.724	9675747.274	9584772.651	10580980.86	11980048.81	11237985.3
P42766	60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2	26459679.78	26882868.46	41355660.55	43758053.11	43627354.86	28812478.87	28862261.41	19323851.27	21823012.88	33621129.2	31914362.65	22526103.01
Q99805	Transmembrane 9 superfamily member 2 OS=Homo sapiens OX=9606 GN=TM9SF2 PE=1 SV=1	47560809.41	46865757.58	42112193.81	55160717.52	54982364.38	53185408.46	37026476.21	35872232.59	39779826.24	45706297.03	45831392.03	44445251.77
O96028	Histone-lysine N-methyltransferase NSD2 OS=Homo sapiens OX=9606 GN=NSD2 PE=1 SV=1	1281637.682	1289843.8	1375363.6	1396941.635	884663.6812	1092195.927	2751017.09	1885493.925	4542372.364	2611866.222	3791684.344	3632022.203
Q8NFH4	Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1	14080709.04	14323629.11	15259028.19	12092173.25	13646328.51	13227920.47	13919511.36	12347228.8	13113548.48	15967966.26	14828311.88	14519498.32
Q5VUG0	Scm-like with four MBT domains protein 2 OS=Homo sapiens OX=9606 GN=SFMBT2 PE=1 SV=1	592426.9242	646835.679	786996.2891	714106.7774	835556.5684	859494.0012	624358.761	914847.2253	799300.0989	892369.0993	1018058.745	486763.7188
Q96BZ9	TBC1 domain family member 20 OS=Homo sapiens OX=9606 GN=TBC1D20 PE=1 SV=1	141188.494	549574.2697	377388.7368	5615286.503	5917100.276	5611990.088	2666402.623	3950637.603	4605618.228	3696034.734	4889318.033	5050972.249
Q5HYI8	Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1	10026433.87	9645516.832	10521175.14	10166296.38	7789428.728	9905698.838	6545369.044	6114588.459	6873809.018	6609368.761	5559989.913	5095340.126
Q03405	Urokinase plasminogen activator surface receptor OS=Homo sapiens OX=9606 GN=PLAUR PE=1 SV=1	3258430.104	2378254.219	3271385.828	4077072.158	3279550.69	4107334.001	2190788.233	425894.7925	4109583.275	2542103.105	3388947.213	2825635.843
P04920	Anion exchange protein 2 OS=Homo sapiens OX=9606 GN=SLC4A2 PE=1 SV=4	11919559.24	9078388.878	9599196.267	14546262.72	12553435.64	13679012.56	8340459.532	4801088.431	6247419.342	8113422.039	7562746.151	6285682.993
Q8IX12	Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2	23264241.95	30880230.15	28004135.34	30618790.13	32002906.58	34300257.6	21438129.74	36949069.14	52450698.42	31646623.74	47180325.52	40022670.52
Q9Y4C8	Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	3416444.482	4551550.055	2984901.402	4442740.509	4321479.038	4368617.579	3393116.17	3971858.4	5162630.125	4445578.89	5899544.748	4029257.297
Q96BI3	Gamma-secretase subunit APH-1A OS=Homo sapiens OX=9606 GN=APH1A PE=1 SV=1	1152397.695	709958.4655	1405189.188	3024203.015	2610817.542	1794168.384	2461922.249	2157345.349	2086635.046	2890557.251	2172645.823	2390944.686
Q8IV48	3'-5' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=ERI1 PE=1 SV=3	943083.2963	831186.108	1252117.626	465217.1714	217518.3529	776092.487	574522.9969	915957.4974	687157.5086	782556.7907	688485.1711	673450.5435
Q05048	Cleavage stimulation factor subunit 1 OS=Homo sapiens OX=9606 GN=CSTF1 PE=1 SV=1	6899695.39	8613244.767	6920098.561	7043555.675	7879418.839	7736977.797	7209456.764	8249919.939	10841026.72	8958528.935	11574981.56	9630552.667
O94842	TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1	13987846.33	8046904.124	10863217.12	12480159.71	8770439.271	8165205.489	11502141.34	9923336.711	9084868.143	8127903.125	8794547.541	9961344.338
Q75N03	E3 ubiquitin-protein ligase Hakai OS=Homo sapiens OX=9606 GN=CBLL1 PE=1 SV=1	672352.5412	947572.1429	313858.5132	1060721.999	1215728.25	688837.6656	888150.2991	1157973.387	1639848.376	1324652.818	1836742.719	1894906.601
Q13416	Origin recognition complex subunit 2 OS=Homo sapiens OX=9606 GN=ORC2 PE=1 SV=2	1810587.614	1989113.303	1884957.731	3429610.789	1262067.622	1344131.51	1556120.612	1798112.69	2430096.348	1990298.29	2091557.671	1825431.26
E7EWM1	Nuclear receptor coactivator 2 OS=Homo sapiens OX=9606 GN=NCOA2 PE=1 SV=2	511317.8407	234978.414	408245.6602	778358.2818	438875.4777	356077.3177	691799.2464	408972.3937	348916.4297	903216.1416	308629.0693	354702.9139
Q96JB2	Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3	628673.9385	1413634.824	1210878.906	1523367.195	1896731.973	1734213.198	1672261.43	1611594.369	1349114.731	1868314.118	1282142.247	1442253.304
Q5TDG9	"DnaJ (Hsp40) homolog, subfamily C, member 16, isoform CRA_a OS=Homo sapiens OX=9606 GN=DNAJC16 PE=1 SV=1"	1020779.104	1400580.534	1591046.557	1470378.019	1487232.155	1359619.318	1109327.823	1049153.717	1342528.944	2457415.492	2097325.063	1156946.931
Q9NVX2	Notchless protein homolog 1 OS=Homo sapiens OX=9606 GN=NLE1 PE=1 SV=4	2663294.092	1773790.531	2127675.625	2195850.57	2106945.718	1950332.996	1937465.536	1582606	1056534.796	1751109.563	1812623.514	1206661.705
P31943	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	680329684.3	653850631	560959161.4	609471173.5	704554713.6	656375242.2	695320173.2	635174648.9	754057976.4	762137296	754482683.1	785843576.4
J3QQ67	60S ribosomal protein L18 (Fragment) OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1	190506073.6	191188340.3	206094060.3	241053249	240299312.2	237187376.1	180528813.9	195692004.5	194045490.9	211513094	207930210	224175029.3
Q9Y4P3	Transducin beta-like protein 2 OS=Homo sapiens OX=9606 GN=TBL2 PE=1 SV=1	24377184.1	22483359.09	20469460.48	29690757.35	29509404.72	26894072.58	21866892.81	21646449.27	17421622.65	22017083.12	23406056.02	22486567.83
Q9UM00	Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1 PE=1 SV=2	43376947.6	37649051.1	42499484.75	52882244.86	50225797.87	41196692.98	40961789.32	35364147.33	30507961.07	42444906.09	35183289.2	38439029.35
Q9HBR0	Putative sodium-coupled neutral amino acid transporter 10 OS=Homo sapiens OX=9606 GN=SLC38A10 PE=1 SV=2	9787045.427	8235620.498	8356328.914	11682514.06	12405012.98	11058521.41	8373015.714	6098492.773	5527080.613	9301024.703	7944406.508	8056330.112
Q8NFI3	Cytosolic endo-beta-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=ENGASE PE=1 SV=1	779931.568	264364.4817	383534.1015	273495.6523	188514.5447	410566.1584	225189.8915	344617.7003	350345.9841	447901.7852	242396.9661	300263.4598
P19447	General transcription and DNA repair factor IIH helicase subunit XPB OS=Homo sapiens OX=9606 GN=ERCC3 PE=1 SV=1	4358776.847	4843601.499	3747182.804	4411165.593	5091945.91	4081569.405	4098659.044	4259203.689	3960828.142	4280639.744	4530028.328	4421526.532
Q9UG63	ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2	18083426.21	15641400.22	15229506.59	24204127.5	21553548.97	20075408.28	16486752.73	19003449.13	14470246.29	18749286.18	18705177.55	18808013.91
Q96GS6	Alpha/beta hydrolase domain-containing protein 17A OS=Homo sapiens OX=9606 GN=ABHD17A PE=1 SV=1	344548.2662	724138.149	268496.5391	443024.9827	657121.6679	286490.8344	154058.213	139459.7011	164177.4739	122969.9009	160776.7055	227618.9727
Q13112	Chromatin assembly factor 1 subunit B OS=Homo sapiens OX=9606 GN=CHAF1B PE=1 SV=1	1376521.912	1114137.836	1126703.364	824028.9422	858568.8201	1241008.073	904644.1239	1853399.315	2159998.376	1176603.426	2239369.532	1874410.59
A0A0A0MQW0	Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=1	10267986.75	12299710.77	9850520.07	8971407.253	9082421.395	8697327.661	9547611.567	7656386.968	13034941.04	10317160.85	12501378.2	12784789.75
B4DJL6	Integrator complex subunit 14 OS=Homo sapiens OX=9606 GN=INTS14 PE=1 SV=1	1790321.83	2311726.078	2570054.771	1083502.832	2632911.535	2132973.276	1711288.734	2828060.773	3229270.001	2723018.309	3846465.233	3139976.196
Q86U42	Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3	11255920.57	13337251.73	11307698.34	7516533.803	8410401.537	12672983.3	7197958.101	14690783.9	13753321.73	9839070.924	11031977.24	10759676.52
Q96EP5	DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1	28374361.8	26054347.62	26629316.43	25892266.99	26319953.2	26793051.25	28649634.67	24640902.08	31361850.12	31741624.95	31573579.76	32202129.06
Q5BJH7	Protein YIF1B OS=Homo sapiens OX=9606 GN=YIF1B PE=1 SV=1	3760881.187	5021605.174	5238986.906	3820221.465	5535544.505	4403489.288	4543400.989	4808615.085	4323154.77	4867608.15	5019797.519	4920721.159
Q99808	Equilibrative nucleoside transporter 1 OS=Homo sapiens OX=9606 GN=SLC29A1 PE=1 SV=3	13518527.92	8830802.99	10332139.54	16800667.8	12351077.85	9483649.187	15596696.81	8623595.09	10442976.68	16656691.9	13378458.04	12577721.01
Q9H6D7	HAUS augmin-like complex subunit 4 OS=Homo sapiens OX=9606 GN=HAUS4 PE=1 SV=1	16910569.67	10696712.66	18867513.19	17546976.38	13981449.77	10779875.84	12629367.69	12045126.93	10092064.73	13186402.83	11537910.23	12188906.74
Q99442	Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1	21160663.21	15863612.25	14838553.5	21761017.35	19639043.44	16567014.22	12785894.94	13323753.95	11925417.84	16546138.94	15613350.62	12441696.13
Q13586	Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3	50453527.26	41289211.9	41569612.7	53587996.1	50330605.69	41539690.58	30274299.95	28680481.69	34837330.26	34037844.51	39655752.08	35373830.92
Q9H3N1	Thioredoxin-related transmembrane protein 1 OS=Homo sapiens OX=9606 GN=TMX1 PE=1 SV=1	149336030.2	115891403.7	115223870.4	168692191.6	154700731.1	142546666.4	106959853.4	85095382.76	79934033.18	101584715.1	106911116.2	98422959.83
X6R3N0	"Solute carrier family 27 (Fatty acid transporter), member 3, isoform CRA_d OS=Homo sapiens OX=9606 GN=SLC27A3 PE=1 SV=1"	20275234	17691890.73	17529041.15	22740742.25	25639239.45	20693449.07	11375778.74	15422988.74	11148979.31	13761103.59	14213269.15	14072051.54
P84103	Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1	86558624.44	73396397.74	67459281.65	91648252.72	87637967.65	78614834.3	89588097.31	92761357.12	111597255.6	119618736	120756231.1	93078205.79
Q16576	Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1	36406240.34	36826152.92	26766793.56	27932395.51	33080716.09	42424229.44	38775955.23	45038310.02	53525802.7	56238770.73	53667821.85	48732112.04
Q96SI9	Spermatid perinuclear RNA-binding protein OS=Homo sapiens OX=9606 GN=STRBP PE=1 SV=1	4522509.333	5073851.663	5963878.436	4340836.409	6525294.709	5517878.299	3670399.226	4736706.045	8880496.333	5046531.45	8188700.352	6737464.787
F8W689	DNA-binding protein RFX5 (Fragment) OS=Homo sapiens OX=9606 GN=RFX5 PE=1 SV=1	1996965.025	1484478.322	885268.9825	1800054.175	1975795.288	1489627.141	824645.8109	1778686.571	1528135.666	1575174.775	1933681.75	1665645.819
Q01105	Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3	1292500.31	1687168.495	1531301.141	2211271.51	1291535.497	2876569.115	2677287.343	2191494.338	2787551.115	3431589.992	1783679.367	2299257.634
Q13409	Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3	1419132.915	1302265.575	1122950.041	2480012.548	1320320.889	2124205.419	3097566.999	2291446.914	1442180.697	3175526.086	1647852.597	2037613.143
O95714	E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2	589667.9626	663944.9517	731778.8922	1005081.609	942240.919	789877.2234	713062.2921	632168.4	509165.4726	1027162.524	677957.2844	727189.2632
Q6ZU80	Centrosomal protein of 128 kDa OS=Homo sapiens OX=9606 GN=CEP128 PE=1 SV=2	6616378.664	6182457.557	7874841.793	9538476.327	8210299.119	8886750.472	3611996.779	5505249.87	4425534.544	4221066.172	5919559.258	5711745.829
A0A087WYS3	Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=1	3859612.833	3936046.656	3536484.005	2382419.646	3823167.151	3387765.019	6142171.958	4581569.712	7213799.999	6813234.354	6011080.049	6835597.472
P62318	Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1	41463278.72	48966294.8	53242635	45719410.87	54355075.91	53641045.29	38768424.28	44867367.21	77849915.06	51761540.77	67442426.81	59147902.94
Q9Y3U8	60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3	61937049.12	59314568.15	67938476.97	75666800.76	85941195.08	62617456.04	77414398.71	58452866.16	78562065.94	75932543.42	82450990.27	87286163.4
Q96G23	Ceramide synthase 2 OS=Homo sapiens OX=9606 GN=CERS2 PE=1 SV=1	61176305.87	53135819.88	59118341.08	77096761.74	64789705.52	55321150.75	57105297.63	46905746.69	46895655.95	58152927.33	50821587.76	53741457.94
Q6NUQ1	RAD50-interacting protein 1 OS=Homo sapiens OX=9606 GN=RINT1 PE=1 SV=1	1858878.008	3562024.684	2847727.2	3390342.317	3718623.298	5060511.085	3233467.25	3120444.893	2530881.118	4021366.479	4011514.763	3072276.681
Q99653	Calcineurin B homologous protein 1 OS=Homo sapiens OX=9606 GN=CHP1 PE=1 SV=3	11010827.8	7794892.997	8023424.976	13486643.63	12876789.13	11780257.06	11491451.68	7749661.139	5992255.729	11322729.9	7001064.854	8146303.748
P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	583249673.4	656540929.4	707385846.1	644246615.1	659939556.5	680055256.3	689397779.1	645870064.1	848229590.4	775574573.7	861079126.4	796377701.2
Q8WWK9	Cytoskeleton-associated protein 2 OS=Homo sapiens OX=9606 GN=CKAP2 PE=1 SV=1	2141063.719	1298980.207	29469438.22	2590828.838	2452878.256	2557988.417	2086146.312	2436490.458	2522817.959	2389332.506	2438142.061	2304330.474
F5GZS6	4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1	127465691.9	98657336.79	102335617.3	138534976.7	146416042	146433493.8	93147501.34	73588573.04	73141372.61	95643910.24	90071978.19	82699467.74
O75150	E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens OX=9606 GN=RNF40 PE=1 SV=5	16247042.54	12782163	13459849.84	12204893.56	15520585.81	10029601.26	13132423.92	15643104.52	20144342.29	18124441.13	19371433.56	20375357.65
Q9Y3E0	Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1	4634095.551	6820861.2	7113697.188	7608128.899	7284968.708	5510676.07	9491362.119	6401476.761	7226052.996	11219374.54	7877772.994	7018976.097
Q03111	Protein ENL OS=Homo sapiens OX=9606 GN=MLLT1 PE=1 SV=2	104116.1243	92286.6004	88995.99627	231340.4637	185417.6179	156263.4841	81684.08377	193369.8338	247062.0257	147944.4147	220769.9836	253357.8197
Q9BT22	Chitobiosyldiphosphodolichol beta-mannosyltransferase OS=Homo sapiens OX=9606 GN=ALG1 PE=1 SV=2	9987150.169	11272317.45	12409270.16	14329033.44	13411413.18	11135712.79	10975116.46	10220582.2	9840306.435	10062428.38	11162095.33	11601230.06
O60502	Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2	61607.83178	557000.7508	484136.1875	168758.7653	287072.5448	378825.7495	264147.1747	225013.4675	208680.9784	243835.193	217171.7603	216693.6604
P11388	DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3	96006624.95	105284332.5	114859875.8	79546847.46	91523119.3	84339671.5	127572238.4	113930106.8	177449051	144016332.5	170204251.3	156771516.1
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	444155822	505726559.1	467543451.9	403991036.5	453518048.4	644468477.9	350772043.6	559130430.5	1037171644	558105087.4	788588776.4	586190963.1
P61964	WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1	4733082.545	4382652.742	3535714.968	4314719.861	4707821.65	5446775.783	6858327.124	7005517.554	7545995.997	8750647.934	9336325.367	6838998.588
Q9NXF1	Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2	18295226.3	20700772.43	18698571.88	17479528.12	20063676.08	16864284.53	22713868.4	20708339.1	21980382.65	25408004.4	25113715.77	23815070.02
P14866	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	203686787.2	210071735.4	214460218.6	207706428.2	219644639.3	205794813.2	196120364	249605206.1	232811545.5	254294151.1	253731743.7	254340332.2
Q9BX10	GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GTPBP2 PE=1 SV=1	377623.375	357383.3367	359621.1207	684854.4965	770841.37	832854.8416	796236.3633	817005.2591	593925.9691	855668.6661	772145.6003	733663.3399
Q15654	Thyroid receptor-interacting protein 6 OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=3	9688392.281	9581531.383	8402992.314	11073478.77	11678494.01	9364507.248	7765352.506	9544202.608	8428021.275	9290685.823	9478298.143	10100432.8
Q9UNX3	60S ribosomal protein L26-like 1 OS=Homo sapiens OX=9606 GN=RPL26L1 PE=1 SV=1	54153867.43	55330079.32	59724035.71	69504595.06	62075744.12	61854512.6	60446537.34	43780969.15	46230025.67	61418266.5	50551231.44	50249975.46
Q9HB40	Retinoid-inducible serine carboxypeptidase OS=Homo sapiens OX=9606 GN=SCPEP1 PE=1 SV=1	3331307.744	2455217.139	2873634.445	3319578.283	3115795.425	1237363.136	1006790.94	1994122.389	2526556.527	2768847.213	2215088.407	2432013.822
Q49AN9	Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1	16507292.98	27476642.85	26948228.38	27603760.11	25561670.71	26128248.84	26221269.16	20824224.72	33739270.33	32416736.63	28075790.75	23773123.43
J3QRG5	Cytochrome b-245 chaperone 1 OS=Homo sapiens OX=9606 GN=CYBC1 PE=1 SV=1	25794797.11	23358200.84	20991600.38	30364933.35	25720581.02	25019200.8	23456600.32	27602692.44	24235123.07	33429197.19	27820549.63	27358165.17
Q99747	Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG PE=1 SV=1	1910290.871	1607449.034	2443473.68	1789369.755	2417323.998	2707013.022	2419314.472	1913456.389	1719338.685	2560251.811	1958955.686	2749563.404
Q92520	Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1	8809772.126	7893305.81	8562451.281	10552042.53	7687754.811	7184580.018	9427032.758	4000019.66	3175169.306	8136554.071	4007101.38	4556943.665
P20700	Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2	1474434627	1175188861	1102876619	1552772180	1414745055	1249239798	878258852	737224332.6	1189438384	973299294.1	1161800211	1056767964
Q96SK2	Transmembrane protein 209 OS=Homo sapiens OX=9606 GN=TMEM209 PE=1 SV=2	26788962.06	29830374.56	25295433.88	38224026.73	35086408.33	30834129.28	19777308.56	17213818.89	17111931.79	19911346.55	19841825.11	20857621.31
O15258	Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1	17575173.72	17613688.16	15861951.27	23764675.79	22331958.38	14266798.2	16251861.46	15507212.06	15025345.76	18234576.73	16313592.71	17228507.17
